# GraphEngine System Export
# Generated: 2025-11-27T15:30:00.000Z
# System ID: GraphEngine.SY.001
# Workspace ID: demo-workspace
# Nodes: 184
# Edges: 412
#
# Format: Format E (Token-Efficient Serialization)
# File Extension: .txt (universal editor compatibility)
#
## Nodes
GraphEngine|SYS|GraphEngine.SY.001|TypeScript graph engine for systems engineering with LLM integration, Format-E serialization, and multi-view visualization [x:0,y:0,zoom:L2]
CanvasManagement.FN.002 -io-> CanvasStateFlow.FL.003
CanvasStateFlow.FL.003 -io-> GraphVisualization.FN.003
CanvasManagement.FN.002 -io-> PersistenceRequestFlow.FL.004
PersistenceRequestFlow.FL.004 -io-> DataPersistence.FN.004
GraphVisualization.FN.003 -io-> LayoutResultFlow.FL.005
LayoutResultFlow.FL.005 -io-> TerminalInterface.FN.005
CanvasManagement.FN.002 -io-> BroadcastPayloadFlow.FL.006
BroadcastPayloadFlow.FL.006 -io-> WebSocketSync.FN.007
FormatESerialization.FN.006 -io-> FormatEDiffFlow.FL.007
FormatEDiffFlow.FL.007 -io-> CanvasManagement.FN.002
WebSocketSync.FN.007 -io-> BroadcastPayloadFlow.FL.006
HandleUserInput.FN.503 -io-> UserMessageFlow.FL.001
ProcessLLMRequest.FN.101 -io-> LLMResponseFlow.FL.002
ParseLLMResponse.FN.103 -io-> ParsedOperations.FL.102
ApplyDiff.FN.201 -io-> DirtyState.FL.202
GetCanvasState.FN.203 -io-> CanvasStateFlow.FL.003
MarkDirty.FN.204 -io-> DirtyState.FL.202
PersistToNeo4j.FN.205 -io-> PersistenceRequestFlow.FL.004
ApplyViewFilter.FN.302 -io-> FilteredGraph.FL.301
ComputeGraphLayout.FN.301 -io-> LayoutResultFlow.FL.005
ExtractPorts.FN.303 -io-> PortDefinitions.FL.302
QueryGraph.FN.405 -io-> CypherQuery.FL.401
BatchPersist.FN.406 -io-> BatchOperations.FL.403
CreateAuditLog.FN.407 -io-> AuditEntry.FL.404
ParseFormatEDiff.FN.601 -io-> FormatEDiffFlow.FL.007
SerializeGraph.FN.602 -io-> FormatEDiffFlow.FL.007
BroadcastUpdate.FN.701 -io-> BroadcastPayloadFlow.FL.006
SystemEngineer.AC.001 -io-> UserMessageFlow.FL.001
AnthropicClaude.AC.001 -io-> LLMResponseFlow.FL.002
Neo4jDatabase.AC.001 -io-> QueryResult.FL.402
PersistenceRequestFlow.FL.004 -io-> Neo4jDatabase.AC.001
BroadcastPayloadFlow.FL.006 -io-> SystemEngineer.AC.001
DefineSystemViaChat.UC.001 -cp-> UserRequestToGraphUpdate.FC.001
LoadGraphFromNeo4j.UC.001 -cp-> LoadGraphFromPersistence.FC.001
ApplyIncrementalDiff.UC.001 -cp-> ApplyDiffToCanvas.FC.001
ComputeLayout.UC.001 -cp-> ComputeLayoutForView.FC.001
BroadcastChanges.UC.001 -cp-> SyncWebSocketClients.FC.001
StreamLLMResponses.UC.001 -cp-> StreamLLMResponse.FC.001
ManageGraphState.UC.001 -cp-> ApplyDiffToCanvas.FC.001
ManageGraphState.UC.001 -cp-> PersistDirtyState.FC.001
UserRequestToGraphUpdate.FC.001 -cp-> SystemEngineer.AC.001
UserRequestToGraphUpdate.FC.001 -cp-> AnthropicClaude.AC.001
LoadGraphFromPersistence.FC.001 -cp-> Neo4jDatabase.AC.001
StreamLLMResponse.FC.001 -cp-> AnthropicClaude.AC.001
PersistDirtyState.FC.001 -cp-> Neo4jDatabase.AC.001
SyncWebSocketClients.FC.001 -cp-> SystemEngineer.AC.001
UserRequestToGraphUpdate.FC.001 -cp-> HandleUserInput.FN.503
UserRequestToGraphUpdate.FC.001 -cp-> BuildSystemPrompt.FN.102
UserRequestToGraphUpdate.FC.001 -cp-> ProcessLLMRequest.FN.101
UserRequestToGraphUpdate.FC.001 -cp-> ParseLLMResponse.FN.103
UserRequestToGraphUpdate.FC.001 -cp-> ApplyDiff.FN.201
UserRequestToGraphUpdate.FC.001 -cp-> PersistToNeo4j.FN.205
UserRequestToGraphUpdate.FC.001 -cp-> BroadcastUpdate.FN.701
LoadGraphFromPersistence.FC.001 -cp-> QueryGraph.FN.405
LoadGraphFromPersistence.FC.001 -cp-> ParseFormatEDiff.FN.601
LoadGraphFromPersistence.FC.001 -cp-> LoadGraph.FN.202
ApplyDiffToCanvas.FC.001 -cp-> ParseFormatEDiff.FN.601
ApplyDiffToCanvas.FC.001 -cp-> ValidateFormatESyntax.FN.603
ApplyDiffToCanvas.FC.001 -cp-> ApplyDiff.FN.201
ApplyDiffToCanvas.FC.001 -cp-> MarkDirty.FN.204
ApplyDiffToCanvas.FC.001 -cp-> BroadcastUpdate.FN.701
ComputeLayoutForView.FC.001 -cp-> ApplyViewFilter.FN.302
ComputeLayoutForView.FC.001 -cp-> ExtractPorts.FN.303
ComputeLayoutForView.FC.001 -cp-> ComputeGraphLayout.FN.301
PersistDirtyState.FC.001 -cp-> MarkDirty.FN.204
PersistDirtyState.FC.001 -cp-> BatchPersist.FN.406
PersistDirtyState.FC.001 -cp-> CreateAuditLog.FN.407
StreamLLMResponse.FC.001 -cp-> BuildSystemPrompt.FN.102
StreamLLMResponse.FC.001 -cp-> ProcessLLMRequest.FN.101
StreamLLMResponse.FC.001 -cp-> StreamTokens.FN.104
StreamLLMResponse.FC.001 -cp-> DisplayStreamingTokens.FN.504
StreamLLMResponse.FC.001 -cp-> ParseLLMResponse.FN.103
StreamLLMResponse.FC.001 -cp-> ExtractOperations.FN.604
SyncWebSocketClients.FC.001 -cp-> MarkDirty.FN.204
SyncWebSocketClients.FC.001 -cp-> SerializeToFormatE.FN.702
SyncWebSocketClients.FC.001 -cp-> BroadcastUpdate.FN.701
UserRequestToGraphUpdate.FC.001 -cp-> UserMessageFlow.FL.001
UserRequestToGraphUpdate.FC.001 -cp-> SystemPrompt.FL.101
UserRequestToGraphUpdate.FC.001 -cp-> LLMResponseFlow.FL.002
UserRequestToGraphUpdate.FC.001 -cp-> ParsedOperations.FL.102
UserRequestToGraphUpdate.FC.001 -cp-> BroadcastPayloadFlow.FL.006
LoadGraphFromPersistence.FC.001 -cp-> CypherQuery.FL.401
LoadGraphFromPersistence.FC.001 -cp-> QueryResult.FL.402
LoadGraphFromPersistence.FC.001 -cp-> CanvasStateFlow.FL.003
StreamLLMResponse.FC.001 -cp-> SystemPrompt.FL.101
StreamLLMResponse.FC.001 -cp-> TokenStream.FL.103
StreamLLMResponse.FC.001 -cp-> LLMResponseFlow.FL.002
StreamLLMResponse.FC.001 -cp-> ParsedOperations.FL.102
LLMIntegration.FN.001 -sat-> NaturalLanguageInterface.RQ.001
LLMIntegration.FN.001 -sat-> PromptCaching.RQ.010
LLMIntegration.FN.001 -sat-> LLMResponseTime.RQ.012
CanvasManagement.FN.002 -sat-> CanvasStateManagement.RQ.004
CanvasManagement.FN.002 -sat-> GraphScalability.RQ.014
GraphVisualization.FN.003 -sat-> FiveSpecializedViews.RQ.005
GraphVisualization.FN.003 -sat-> LayoutPerformance.RQ.011
GraphVisualization.FN.003 -sat-> RenderingPerformance.RQ.013
DataPersistence.FN.004 -sat-> DataPersistenceReq.RQ.016
DataPersistence.FN.004 -sat-> AuditLogging.RQ.009
TerminalInterface.FN.005 -sat-> NaturalLanguageInterface.RQ.001
FormatESerialization.FN.006 -sat-> FormatESerialization.RQ.006
FormatESerialization.FN.006 -sat-> OntologyCompliance.RQ.002
WebSocketSync.FN.007 -sat-> ConcurrentUsers.RQ.015
WebSocketSync.FN.007 -sat-> MultiTenancy.RQ.003
DefineSystemViaChat.UC.001 -sat-> NaturalLanguageInterface.RQ.001
VisualizeMultipleViews.UC.001 -sat-> FiveSpecializedViews.RQ.005
LLMGuidedModeling.UC.001 -sat-> NaturalLanguageInterface.RQ.001
AutoDeriveStructures.UC.001 -sat-> LLMAutoDerivation.RQ.007
ValidateOntology.UC.001 -sat-> ValidationAdvisor.RQ.008
ValidateOntology.UC.001 -sat-> OntologyCompliance.RQ.002
CollaborateMultiUser.UC.001 -sat-> MultiTenancy.RQ.003
CollaborateMultiUser.UC.001 -sat-> ConcurrentUsers.RQ.015
PersistAndRecover.UC.001 -sat-> DataPersistenceReq.RQ.016
PersistAndRecover.UC.001 -sat-> AuditLogging.RQ.009
StreamLLMResponses.UC.001 -sat-> LLMResponseTime.RQ.012
ManageGraphState.UC.001 -sat-> CanvasStateManagement.RQ.004
ComputeLayout.UC.001 -sat-> LayoutPerformance.RQ.011
CachePrompts.UC.001 -sat-> PromptCaching.RQ.010
NaturalLanguageInterface.RQ.001 -ver-> TestNaturalLanguageChat.TC.001
OntologyCompliance.RQ.002 -ver-> TestOntologyValidation.TC.002
MultiTenancy.RQ.003 -ver-> TestMultiTenantIsolation.TC.003
CanvasStateManagement.RQ.004 -ver-> TestCanvasDiffApplication.TC.004
FiveSpecializedViews.RQ.005 -ver-> TestViewSwitching.TC.005
FormatESerialization.RQ.006 -ver-> TestFormatEParsing.TC.006
LLMAutoDerivation.RQ.007 -ver-> TestAutoDerivation.TC.007
ValidationAdvisor.RQ.008 -ver-> TestValidationRules.TC.008
AuditLogging.RQ.009 -ver-> TestAuditLogQuery.TC.009
PromptCaching.RQ.010 -ver-> TestPromptCacheHit.TC.010
LayoutPerformance.RQ.011 -ver-> TestLayoutSpeed.TC.011
DataPersistenceReq.RQ.016 -ver-> TestCrashRecovery.TC.012
GraphEngineRoot.MD.001 -cp-> CanvasModule.MD.001
GraphEngineRoot.MD.001 -cp-> GraphEngineModule.MD.002
GraphEngineRoot.MD.001 -cp-> LLMEngineModule.MD.003
GraphEngineRoot.MD.001 -cp-> Neo4jClientModule.MD.004
GraphEngineRoot.MD.001 -cp-> TerminalUIModule.MD.005
GraphEngineRoot.MD.001 -cp-> SharedModule.MD.006
GraphEngineRoot.MD.001 -cp-> LayoutModule.MD.007
CanvasModule.MD.001 -cp-> CanvasBaseFile.MD.101
CanvasModule.MD.001 -cp-> GraphCanvasFile.MD.102
CanvasModule.MD.001 -cp-> ChatCanvasFile.MD.103
CanvasModule.MD.001 -cp-> WebSocketServerFile.MD.104
CanvasModule.MD.001 -cp-> WebSocketClientFile.MD.105
GraphEngineModule.MD.002 -cp-> GraphEngineImplFile.MD.201
GraphEngineModule.MD.002 -cp-> ViewFilterFile.MD.202
GraphEngineModule.MD.002 -cp-> PortExtractorFile.MD.203
GraphEngineModule.MD.002 -cp-> ReingoldTilfordFile.MD.204
LLMEngineModule.MD.003 -cp-> LLMEngineImplFile.MD.301
LLMEngineModule.MD.003 -cp-> PromptBuilderFile.MD.302
LLMEngineModule.MD.003 -cp-> ResponseParserFile.MD.303
LLMEngineModule.MD.003 -cp-> AgentDBServiceFile.MD.304
Neo4jClientModule.MD.004 -cp-> Neo4jClientImplFile.MD.401
Neo4jClientModule.MD.004 -cp-> SessionManagerFile.MD.402
TerminalUIModule.MD.005 -cp-> ChatInterfaceFile.MD.501
TerminalUIModule.MD.005 -cp-> GraphViewerFile.MD.502
TerminalUIModule.MD.005 -cp-> AsciiGridFile.MD.503
TerminalUIModule.MD.005 -cp-> AppFile.MD.504
SharedModule.MD.006 -cp-> ParsersModule.MD.601
SharedModule.MD.006 -cp-> TypesModule.MD.602
SharedModule.MD.006 -cp-> ConfigFile.MD.603
ParsersModule.MD.601 -cp-> FormatEParserFile.MD.604
TypesModule.MD.602 -cp-> OntologyTypesFile.MD.605
LayoutModule.MD.007 -cp-> RadialLayoutFile.MD.701
LayoutModule.MD.007 -cp-> OrthogonalLayoutFile.MD.702
LayoutModule.MD.007 -cp-> SugiyamaLayoutFile.MD.703
LayoutModule.MD.007 -cp-> TreemapLayoutFile.MD.704
GraphCanvasFile.MD.102 -alc-> ApplyDiff.FN.201
GraphCanvasFile.MD.102 -alc-> LoadGraph.FN.202
GraphCanvasFile.MD.102 -alc-> GetCanvasState.FN.203
GraphCanvasFile.MD.102 -alc-> MarkDirty.FN.204
GraphCanvasFile.MD.102 -alc-> PersistToNeo4j.FN.205
WebSocketServerFile.MD.104 -alc-> BroadcastUpdate.FN.701
WebSocketClientFile.MD.105 -alc-> SerializeToFormatE.FN.702
LLMEngineImplFile.MD.301 -alc-> ProcessLLMRequest.FN.101
PromptBuilderFile.MD.302 -alc-> BuildSystemPrompt.FN.102
ResponseParserFile.MD.303 -alc-> ParseLLMResponse.FN.103
LLMEngineImplFile.MD.301 -alc-> StreamTokens.FN.104
LLMEngineImplFile.MD.301 -alc-> TrackTokenUsage.FN.105
GraphEngineImplFile.MD.201 -alc-> ComputeGraphLayout.FN.301
ViewFilterFile.MD.202 -alc-> ApplyViewFilter.FN.302
PortExtractorFile.MD.203 -alc-> ExtractPorts.FN.303
ReingoldTilfordFile.MD.204 -alc-> ComputeReingoldTilford.FN.304
SugiyamaLayoutFile.MD.703 -alc-> ComputeSugiyama.FN.305
OrthogonalLayoutFile.MD.702 -alc-> RouteOrthogonal.FN.306
RadialLayoutFile.MD.701 -alc-> ComputeRadial.FN.307
TreemapLayoutFile.MD.704 -alc-> ComputeTreemap.FN.308
Neo4jClientImplFile.MD.401 -alc-> CreateNode.FN.401
Neo4jClientImplFile.MD.401 -alc-> UpdateNode.FN.402
Neo4jClientImplFile.MD.401 -alc-> DeleteNode.FN.403
Neo4jClientImplFile.MD.401 -alc-> CreateRelationship.FN.404
Neo4jClientImplFile.MD.401 -alc-> QueryGraph.FN.405
Neo4jClientImplFile.MD.401 -alc-> BatchPersist.FN.406
Neo4jClientImplFile.MD.401 -alc-> CreateAuditLog.FN.407
ChatInterfaceFile.MD.501 -alc-> RenderChat.FN.501
GraphViewerFile.MD.502 -alc-> RenderGraph.FN.502
ChatInterfaceFile.MD.501 -alc-> HandleUserInput.FN.503
ChatInterfaceFile.MD.501 -alc-> DisplayStreamingTokens.FN.504
AppFile.MD.504 -alc-> InitTmuxLayout.FN.505
FormatEParserFile.MD.604 -alc-> ParseFormatEDiff.FN.601
FormatEParserFile.MD.604 -alc-> SerializeGraph.FN.602
FormatEParserFile.MD.604 -alc-> ValidateFormatESyntax.FN.603
FormatEParserFile.MD.604 -alc-> ExtractOperations.FN.604
OntologyTypesSchema.SC.001 -rel-> ValidateFormatESyntax.FN.603
OntologyTypesSchema.SC.001 -rel-> ApplyDiff.FN.201
OntologyTypesSchema.SC.001 -rel-> ApplyViewFilter.FN.302
CanvasStateSchema.SC.002 -rel-> GetCanvasState.FN.203
CanvasStateSchema.SC.002 -rel-> ApplyDiff.FN.201
FormatESchema.SC.003 -rel-> ParseFormatEDiff.FN.601
FormatESchema.SC.003 -rel-> SerializeGraph.FN.602
ViewTypesSchema.SC.004 -rel-> ApplyViewFilter.FN.302
ViewTypesSchema.SC.004 -rel-> ComputeGraphLayout.FN.301
LayoutTypesSchema.SC.005 -rel-> ComputeGraphLayout.FN.301
LLMTypesSchema.SC.006 -rel-> ProcessLLMRequest.FN.101
LLMTypesSchema.SC.006 -rel-> BuildSystemPrompt.FN.102
Neo4jTypesSchema.SC.007 -rel-> QueryGraph.FN.405
Neo4jTypesSchema.SC.007 -rel-> BatchPersist.FN.406
CanvasStateFlow.FL.003 -rel-> CanvasStateSchema.SC.002
FormatEDiffFlow.FL.007 -rel-> FormatESchema.SC.003
LLMResponseFlow.FL.002 -rel-> LLMTypesSchema.SC.006
LayoutResultFlow.FL.005 -rel-> LayoutTypesSchema.SC.005
CypherQuery.FL.401 -rel-> Neo4jTypesSchema.SC.007
QueryResult.FL.402 -rel-> Neo4jTypesSchema.SC.007
GraphEngineRoot.MD.001 -cp-> FormatESerializationModule.MD.008
FormatESerializationModule.MD.008 -cp-> ParsersModule.MD.601
FormatESerializationModule.MD.008 -alc-> ParseFormatEDiff.FN.601
FormatESerializationModule.MD.008 -alc-> SerializeGraph.FN.602
FormatESerializationModule.MD.008 -alc-> ValidateFormatESyntax.FN.603
FormatESerializationModule.MD.008 -alc-> ExtractOperations.FN.604
CanvasManagement.FN.002 -cp-> FormatESerialization.FN.006
LLMIntegration.FN.001 -cp-> ValidateFormatESyntax.FN.603
CanvasManagement.FN.002 -cp-> ParseFormatEDiff.FN.601
CanvasManagement.FN.002 -cp-> ValidateFormatESyntax.FN.603
LLMResponseFlow.FL.002 -rel-> FormatETransport.SC.008
FormatEDiffFlow.FL.007 -rel-> FormatETransport.SC.008
BroadcastPayloadFlow.FL.006 -rel-> FormatETransport.SC.008
PersistenceRequestFlow.FL.004 -rel-> FormatETransport.SC.008
GraphEngine.SY.001 -cp-> ClientManagement.FN.008
ClientManagement.FN.008 -cp-> BroadcastUpdate.FN.801
ClientManagement.FN.008 -cp-> SyncClientState.FN.802
ClientManagement.FN.008 -cp-> ManageConnections.FN.803
ClientManagement.FN.008 -io-> BroadcastPayloadFlow.FL.006
BroadcastPayloadFlow.FL.006 -io-> ClientManagement.FN.008
DirtyState.FL.202 -io-> ClientManagement.FN.008
BroadcastUpdate.FN.801 -io-> BroadcastPayloadFlow.FL.006
BroadcastChanges.UC.001 -cp-> SyncClients.FC.008
SyncClients.FC.008 -cp-> MarkDirty.FN.204
SyncClients.FC.008 -cp-> BroadcastUpdate.FN.801
SyncClients.FC.008 -cp-> SyncClientState.FN.802
ClientManagement.FN.008 -sat-> ConcurrentUsers.RQ.015
ClientManagement.FN.008 -sat-> MultiTenancy.RQ.003
WebSocketServerFile.MD.104 -alc-> BroadcastUpdate.FN.801
WebSocketServerFile.MD.104 -alc-> ManageConnections.FN.803
WebSocketClientFile.MD.105 -alc-> SyncClientState.FN.802
UserMessageFlow.FL.001 -rel-> PlainTextFormat.SC.010
UserMessageFlow.FL.001 -rel-> RequestResponseProtocol.SC.011
LLMResponseFlow.FL.002 -rel-> StreamingProtocol.SC.009
CanvasStateFlow.FL.003 -rel-> FormatETransport.SC.008
CanvasStateFlow.FL.003 -rel-> RequestResponseProtocol.SC.011
PersistenceRequestFlow.FL.004 -rel-> RequestResponseProtocol.SC.011
BroadcastPayloadFlow.FL.006 -rel-> WebSocketProtocol.SC.012
FormatEDiffFlow.FL.007 -rel-> RequestResponseProtocol.SC.011
SystemPrompt.FL.101 -rel-> PlainTextFormat.SC.010
SystemPrompt.FL.101 -rel-> RequestResponseProtocol.SC.011
ParsedOperations.FL.102 -rel-> FormatETransport.SC.008
ParsedOperations.FL.102 -rel-> RequestResponseProtocol.SC.011
TokenStream.FL.103 -rel-> PlainTextFormat.SC.010
TokenStream.FL.103 -rel-> StreamingProtocol.SC.009
TokenUsageReport.FL.104 -rel-> PlainTextFormat.SC.010
TokenUsageReport.FL.104 -rel-> RequestResponseProtocol.SC.011
DiffOperations.FL.201 -rel-> FormatETransport.SC.008
DiffOperations.FL.201 -rel-> RequestResponseProtocol.SC.011
DirtyState.FL.202 -rel-> FormatETransport.SC.008
DirtyState.FL.202 -rel-> RequestResponseProtocol.SC.011
FilteredGraph.FL.301 -rel-> FormatETransport.SC.008
FilteredGraph.FL.301 -rel-> RequestResponseProtocol.SC.011
PortDefinitions.FL.302 -rel-> FormatETransport.SC.008
PortDefinitions.FL.302 -rel-> RequestResponseProtocol.SC.011
ViewConfig.FL.303 -rel-> PlainTextFormat.SC.010
ViewConfig.FL.303 -rel-> RequestResponseProtocol.SC.011
CypherQuery.FL.401 -rel-> PlainTextFormat.SC.010
CypherQuery.FL.401 -rel-> RequestResponseProtocol.SC.011
QueryResult.FL.402 -rel-> FormatETransport.SC.008
QueryResult.FL.402 -rel-> RequestResponseProtocol.SC.011
BatchOperations.FL.403 -rel-> FormatETransport.SC.008
BatchOperations.FL.403 -rel-> RequestResponseProtocol.SC.011
AuditEntry.FL.404 -rel-> FormatETransport.SC.008
AuditEntry.FL.404 -rel-> RequestResponseProtocol.SC.011
LayoutResultFlow.FL.005 -rel-> FormatETransport.SC.008
LayoutResultFlow.FL.005 -rel-> RequestResponseProtocol.SC.011
FormatETypes.SC.001 -rel-> ValidateFormatESyntax.FN.603
FormatETypes.SC.001 -rel-> ApplyDiff.FN.201
FormatETypes.SC.001 -rel-> ApplyViewFilter.FN.302
FormatETypes.SC.001 -rel-> ParseFormatEDiff.FN.601
FormatETypes.SC.001 -rel-> SerializeGraph.FN.602
LLMResponseFlow.FL.002 -rel-> FormatETypes.SC.001
FormatEDiffFlow.FL.007 -rel-> FormatETypes.SC.001
BroadcastPayloadFlow.FL.006 -rel-> FormatETypes.SC.001
PersistenceRequestFlow.FL.004 -rel-> FormatETypes.SC.001
CanvasStateFlow.FL.003 -rel-> FormatETypes.SC.001
QueryResult.FL.402 -rel-> FormatETypes.SC.001
BatchOperations.FL.403 -rel-> FormatETypes.SC.001
AuditEntry.FL.404 -rel-> FormatETypes.SC.001
LayoutResultFlow.FL.005 -rel-> FormatETypes.SC.001
ParsedOperations.FL.102 -rel-> FormatETypes.SC.001
DiffOperations.FL.201 -rel-> FormatETypes.SC.001
DirtyState.FL.202 -rel-> FormatETypes.SC.001
FilteredGraph.FL.301 -rel-> FormatETypes.SC.001
PortDefinitions.FL.302 -rel-> FormatETypes.SC.001
DataPersistence.FN.004 -io-> QueryResult.FL.402
TokenStream.FL.103 -io-> TerminalInterface.FN.005
LLMResponseFlow.FL.002 -io-> ParseFormatEDiff.FN.601
ApplyDiff.FN.201 -io-> MarkDirty.FN.204
PersistenceRequestFlow.FL.004 -io-> BatchPersist.FN.406
BatchOperations.FL.403 -io-> CreateNode.FN.401
BatchOperations.FL.403 -io-> UpdateNode.FN.402
BatchOperations.FL.403 -io-> DeleteNode.FN.403
BatchOperations.FL.403 -io-> CreateRelationship.FN.404
CypherQuery.FL.401 -io-> QueryGraph.FN.405
AuditEntry.FL.404 -io-> CreateAuditLog.FN.407
LLMIntegration.FN.001 -io-> TokenStream.FL.103
CanvasManagement.FN.002 -io-> DirtyState.FL.202
GraphEngine.SY.001 -cp-> MultiAgentArchitecture.UC.002
LLMIntegration.FN.001 -cp-> CoordinateAgents.FN.901
LLMIntegration.FN.001 -cp-> ValidateArchitecture.FN.902
LLMIntegration.FN.001 -cp-> ClassifyNodeType.FN.903
LLMIntegration.FN.001 -cp-> GenerateAgentPrompts.FN.904
LLMIntegration.FN.001 -cp-> ExecuteReviewFlow.FN.905
LLMIntegration.FN.001 -cp-> BuildDecisionQueries.FN.906
MultiAgentArchitecture.UC.002 -sat-> ValidationAdvisor.RQ.008
MultiAgentArchitecture.UC.002 -sat-> OntologyCompliance.RQ.002
LLMEngineModule.MD.003 -cp-> AgentsModule.MD.901
AgentsModule.MD.901 -cp-> AgentCoordinatorFile.MD.902
AgentsModule.MD.901 -cp-> ArchitectureValidatorFile.MD.903
AgentsModule.MD.901 -cp-> DecisionTreeFile.MD.904
AgentsModule.MD.901 -cp-> AgentPromptsFile.MD.905
AgentsModule.MD.901 -cp-> ReviewFlowFile.MD.906
AgentsModule.MD.901 -cp-> ValidationQueriesFile.MD.907
AgentsModule.MD.901 -cp-> AgentTypesFile.MD.908
LLMEngineModule.MD.003 -cp-> MultiAgentProcessorFile.MD.909
LLMEngineModule.MD.003 -cp-> AutoDerivationFile.MD.305
TerminalUIModule.MD.005 -cp-> TerminalGraphicsFile.MD.506
AgentCoordinatorFile.MD.902 -alc-> CoordinateAgents.FN.901
ArchitectureValidatorFile.MD.903 -alc-> ValidateArchitecture.FN.902
DecisionTreeFile.MD.904 -alc-> ClassifyNodeType.FN.903
AgentPromptsFile.MD.905 -alc-> GenerateAgentPrompts.FN.904
ReviewFlowFile.MD.906 -alc-> ExecuteReviewFlow.FN.905
ValidationQueriesFile.MD.907 -alc-> BuildDecisionQueries.FN.906
CoordinateAgents.FN.901 -io-> AgentHandoffFlow.FL.901
AgentHandoffFlow.FL.901 -io-> ValidateArchitecture.FN.902
ValidateArchitecture.FN.902 -io-> ValidationResultFlow.FL.902
ValidationResultFlow.FL.902 -io-> ExecuteReviewFlow.FN.905
